eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
nan,nan,-0.04728996753692627,33,1,1.418938398361206,60,111.6810531616211
200.0,-1205.109487625,0.43483906984329224,1598,100,1.4534286260604858,6000,507.3782653808594
200.0,-1191.3528801833336,0.19278669357299805,1971,200,1.4569580554962158,12000,117.602783203125
200.0,-1184.7641211428572,0.3127356171607971,1993,300,1.4447128772735596,18000,312.9727783203125
200.0,-1216.99025667,0.08141446113586426,2097,400,1.4425326585769653,24000,251.14918518066406
200.0,-1242.89187026,0.04798567295074463,2183,500,1.4415819644927979,30000,507.5740661621094
200.0,-1278.43961174,0.016299307346343994,2244,600,1.447733759880066,36000,646.5001220703125
200.0,-1267.26100277,0.040757179260253906,2318,700,1.4447365999221802,42000,243.1001434326172
200.0,-1246.85179524,0.003452777862548828,2366,800,1.4418200254440308,48000,917.1129760742188
200.0,-1218.47519655,0.00479435920715332,2403,900,1.4390830993652344,54000,299.0919494628906
200.0,-1245.5260973299999,0.0006853342056274414,2421,1000,1.4471123218536377,60000,1558.667724609375
200.0,-1271.81782322,0.0005788207054138184,2447,1100,1.4567617177963257,66000,642.1287231445312
200.0,-1310.08973154,0.0005969405174255371,2459,1200,1.4620805978775024,72000,2058.974853515625
200.0,-1329.6762744,0.0001526474952697754,2452,1300,1.4657536745071411,78000,551.2929077148438
200.0,-1373.54593741,0.0003180503845214844,2469,1400,1.4676470756530762,84000,3466.863037109375
200.0,-1385.9772369399998,0.00039517879486083984,2494,1500,1.476805329322815,90000,337.7055358886719
200.0,-1374.1718275900002,2.6881694793701172e-05,2506,1600,1.4727119207382202,96000,3588.292236328125
200.0,-1325.58527586,0.00019729137420654297,2521,1700,1.4692909717559814,102000,486.22576904296875
200.0,-1286.75405551,2.3066997528076172e-05,2536,1800,1.4675500392913818,108000,4356.77001953125
200.0,-1287.4376597199998,0.0004818439483642578,2548,1900,1.476977825164795,114000,429.0315246582031
200.0,-1271.9499282400002,0.0003967881202697754,2565,2000,1.4808471202850342,120000,6379.29150390625
200.0,-1278.25095048,0.00021380186080932617,2578,2100,1.4786986112594604,126000,443.1222839355469
